Name,Student id,sex,overall gpa,grade on recent exam,letter grade on recent exam,gym_exam_score
Jeffrey Horton,577,male,2.54,25,F,64
Crystal Clark,578,male,3.02,61,D-,29
Sandra Yoder,579,female,3.05,76,C,90
Sarah Richardson,580,male,3.88,8,F,77
Ronald Smith,581,female,2.70,11,F,75
Mary Shaw,582,female,2.92,35,F,21
Robert Alvarez,583,female,2.59,47,F,26
Maria Bowman,584,male,2.26,6,F,73
Holly Williams,585,male,2.03,35,F,37
Thomas Oneill,586,female,3.84,90,A-,89
Alan Pennington,587,male,2.28,89,B+,72
Jonathon Cummings,588,female,2.29,27,F,16
Cheryl Johnson,589,male,2.18,88,B+,73
Derrick Mathews,590,male,2.23,55,F,44
Catherine Good,591,female,2.91,65,D,35
Jessica Price,592,male,2.72,94,A,35
Sharon Farley,593,female,2.24,45,F,51
Jared Reynolds,594,male,2.66,96,A,70
Kevin Macdonald,595,female,3.20,70,C-,3
Charles Frederick,596,female,3.27,10,F,85
Laurie Johnson,597,female,3.01,72,C-,12
Alex Williams,598,male,3.96,71,C-,72
Rachel Weber,599,female,2.55,94,A,14
Barry Grant,600,female,3.65,81,B-,48
Joyce Trujillo,601,male,2.98,64,D,73
Michelle Butler,602,male,2.05,75,C,76
Lisa Davis,603,male,2.68,21,F,89
Jonathan Kim,604,female,2.54,63,D,16
John Kramer,605,male,2.08,21,F,29
Carla Conner,606,male,2.37,17,F,46
Daniel Black,607,male,3.56,17,F,75
Bernard Rodriguez,608,female,3.27,30,F,67
April May,609,female,3.09,3,F,43
Christina Moon,610,female,2.79,49,F,18
Andrea Hood,611,female,3.99,82,B-,77
Jacob Barber,612,male,3.54,92,A-,67
Kevin Reeves,613,male,3.13,67,D+,8
Monica Davidson,614,male,3.88,57,F,37
Michael Hodge,615,male,2.90,43,F,39
Robert Williams,616,male,3.32,13,F,23
Valerie Wright,617,female,2.47,29,F,21
Sean Ramos,618,male,2.32,72,C-,62
Charles Anderson,619,male,2.51,20,F,22
Meghan Torres,620,male,2.08,11,F,49
Thomas Willis,621,female,3.14,42,F,42
Charles Martinez,622,female,2.79,20,F,8
Thomas Warner,623,male,3.58,47,F,56
Marie Woods,624,male,2.43,67,D+,59
Tiffany Franklin,625,female,3.59,58,F,82
Jeffery Martinez,626,female,3.35,47,F,6
Kendra Graham,627,male,2.78,94,A,93
Connie Murray,628,male,3.49,98,A+,32
Mary Rodriguez,629,male,3.35,13,F,8
George Gomez,630,female,3.50,13,F,49
Melissa Reeves,631,male,2.73,63,D,99
Lisa Roman,632,male,3.40,68,D+,64
Cody Jacobs,633,female,3.86,73,C,59
Kimberly Bishop,634,female,3.72,54,F,26
Kimberly Jones,635,female,2.84,87,B+,50
Matthew Campbell,636,female,2.29,19,F,39
Mary Jackson,637,female,3.20,32,F,58
Anthony Oconnell,638,female,2.09,97,A+,69
Tabitha Ryan,639,male,2.48,40,F,45
Tiffany Powell,640,male,3.58,26,F,61
Tiffany Jones,641,male,3.52,33,F,7
Raymond Jones,642,female,2.05,76,C,49
Samuel Hernandez,643,female,3.56,84,B,5
Teresa Butler,644,female,3.09,53,F,16
Linda Webster,645,female,3.17,0,F,19
Jeremy Jensen,646,male,3.40,77,C+,23
Shelby Garcia,647,male,2.67,65,D,51
Darrell Hess,648,male,2.41,48,F,1
Heather Rodgers,649,male,2.27,81,B-,18
Dawn Salas,650,male,2.57,73,C,83
Brian Edwards,651,male,2.23,96,A,43
Mr. James Peterson,652,male,3.34,37,F,53
Michael Morris,653,male,2.73,12,F,46
Sheila Williams,654,male,3.95,33,F,2
Barbara Meyer,655,female,2.92,11,F,5
James Gallegos,656,female,3.52,75,C,7
Justin Woods,657,female,2.35,71,C-,27
Eric Guerra,658,male,3.91,20,F,66
Kathryn Chung,659,male,3.85,73,C,81
Anthony May,660,female,3.13,29,F,14
Patricia Anderson,661,male,3.12,25,F,58
Karen Rivas,662,female,2.67,44,F,86
Charles Nelson,663,female,2.64,54,F,97
Samantha Walker,664,female,2.35,64,D,24
Amanda Wilson,665,female,3.23,86,B,4
Jennifer Adams,666,male,2.17,69,D+,3
Carmen Lucas,667,female,3.30,68,D+,32
Travis Wilson,668,female,2.82,50,F,95
Autumn Craig,669,female,2.74,10,F,8
Patrick Le,670,female,3.80,0,F,54
Rodney Smith,671,female,3.54,34,F,98
Kristen Lopez,672,female,2.72,82,B-,12
Ian Mendez,673,male,3.59,98,A+,69
David Sanders,674,female,3.09,83,B,21
Deborah Adkins,675,female,2.44,21,F,1
Alexander Bennett,676,male,3.98,51,F,25
Laura Klein,677,female,2.99,41,F,24
Jennifer Christensen,678,male,2.96,68,D+,53
Austin Curry,679,male,3.67,3,F,69
Mrs. Crystal Brown,680,female,3.14,74,C,60
Ian Roberts,681,male,3.89,91,A-,75
Marcus Smith,682,male,3.37,93,A,71
Clinton Morrison,683,male,2.61,74,C,66
Wendy Lee,684,male,2.52,12,F,83
Christina Love,685,male,3.92,10,F,61
Alexander Richardson,686,male,3.49,63,D,34
Tiffany Walker,687,male,2.97,22,F,81
Jacob Nguyen,688,female,2.63,25,F,54
Gina Gregory,689,female,2.40,18,F,40
Lydia Vega,690,male,2.07,19,F,61
Natasha Miranda,691,male,3.66,75,C,72
Jesse Sandoval,692,female,3.07,14,F,0
Elizabeth Murphy,693,female,2.32,32,F,57
Taylor Ruiz,694,female,3.61,27,F,10
Sharon Goodman,695,female,2.71,38,F,34
Marvin Gonzalez,696,female,3.44,70,C-,78
Ronald Atkins,697,male,2.55,32,F,93
Rhonda Scott,698,female,3.48,27,F,77
Yvonne Young,699,female,3.32,69,D+,57
Kylie Wilson,700,male,3.19,33,F,5
John Hill,701,male,2.99,0,F,99
Monica Boyle,702,female,3.81,62,D-,76
Megan Martinez,703,female,3.78,99,A+,22
Christina Kelley,704,male,3.85,5,F,67
Frank Hernandez,705,male,2.18,8,F,0
Kenneth Wade,706,male,2.65,97,A+,11
Jason Lee,707,male,3.21,40,F,7
Susan Hayden,708,female,2.30,21,F,43
Jeremy Johnson,709,male,2.79,42,F,2
Kayla Mosley,710,female,2.09,82,B-,33
Frank Miller,711,male,3.71,6,F,48
Cindy Bowen,712,male,2.59,27,F,93
Matthew Ayers,713,female,3.15,28,F,10
Omar Miller,714,female,3.95,17,F,58
Kristine Mills,715,male,3.03,60,D-,4
Craig Perez,716,female,3.69,47,F,64
Matthew Mcdaniel,717,female,3.27,62,D-,14
Christopher Brooks,718,male,3.42,55,F,51
Hailey Wilson DVM,719,male,2.27,52,F,75
Madison Proctor,720,male,2.66,27,F,42
Brittany Anderson,721,female,2.30,57,F,22
David Barry,722,female,2.97,57,F,54
Adrian Gray,723,female,3.66,82,B-,7
Michele Davis,724,male,2.80,38,F,95
Andrew Robinson,725,male,2.92,42,F,39
Victoria Wilson,726,female,3.29,27,F,69
Carrie Hensley,727,male,3.03,85,B,31
Deanna Barr,728,male,3.63,46,F,28
Sherri Nichols MD,729,male,2.40,80,B-,89
Mark Jackson,730,male,3.64,11,F,35
Jose Miller,731,male,3.91,69,D+,13
Kevin Martin,732,female,2.82,6,F,53
Tammy Gutierrez,733,male,3.38,87,B+,19
Stephanie Roman,734,female,3.51,42,F,56
Jennifer Douglas,735,male,3.79,51,F,26
Michael Freeman,736,male,3.78,69,D+,93
Jason Anderson,737,male,2.79,94,A,45
Felicia Jenkins,738,female,2.29,42,F,21
Joseph Woods,739,male,3.39,51,F,37
James Steele,740,male,2.31,55,F,43
Kimberly Smith,741,female,3.35,28,F,22
James Caldwell,742,female,2.23,89,B+,7
Stacey Morris,743,female,3.71,75,C,2
Sarah Morrison,744,male,2.41,62,D-,74
Robin Freeman,745,male,3.46,91,A-,51
Ann Black,746,male,3.60,87,B+,83
Colton Williams,747,male,2.75,33,F,77
Amber Anderson,748,female,3.09,82,B-,98
Douglas Rodriguez,749,female,2.78,23,F,52
Dr. Caroline Beck,750,male,3.36,85,B,58
George Velez,751,female,3.71,96,A,56
Michelle Powell,752,male,3.40,7,F,75
Julie Chen MD,753,female,2.74,38,F,55
Natalie Armstrong,754,male,2.25,85,B,30
Samantha Hernandez,755,female,3.88,38,F,17
Nathan Guzman,756,male,3.38,88,B+,70
Steven Liu,757,male,3.66,93,A,79
Christine Lawrence,758,male,2.50,23,F,60
Daniel Crane,759,female,3.74,65,D,69
Daniel Smith,760,male,2.52,97,A+,11
Devin Alexander,761,male,2.64,16,F,71
Karen Lowe,762,female,2.93,34,F,80
Jessica Maxwell,763,female,3.05,18,F,80
Christine Ramirez,764,male,3.94,67,D+,33
Clifford Haley,765,male,2.91,87,B+,22
Nicole Ayala,766,male,3.17,90,A-,23
Ann Baker,767,male,2.26,82,B-,44
Vanessa Newman,768,female,3.83,52,F,7
Heather Frye,769,female,2.42,29,F,10
Michelle Ellis,770,male,3.57,22,F,22
Alexandra Harris,771,male,2.85,12,F,60
Andrew Hill,772,female,3.52,39,F,59
Christopher Clark,773,female,3.14,3,F,47
Sandra Cobb,774,male,2.30,88,B+,76
Luis Yates,775,female,2.64,27,F,58
Eric Frazier,776,female,2.10,2,F,29
Susan Williams,777,male,3.37,55,F,20
Adrian Allen,778,female,3.29,50,F,61
Wendy Evans,779,female,2.51,41,F,25
